show_id,type,title,country,year_added,release_year,rating,duration,genre,is_movie,is_tv_show
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Japan,2021.0,2011,TV-14,102 min,Action & Adventure,1,0
s58,Movie,Naruto Shippûden the Movie: Bonds,Japan,2021.0,2008,TV-PG,93 min,Action & Adventure,1,0
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Japan,2021.0,2009,TV-PG,96 min,Action & Adventure,1,0
s60,Movie,Naruto Shippuden: The Movie,Japan,2021.0,2007,TV-PG,95 min,Action & Adventure,1,0
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Japan,2021.0,2010,TV-14,85 min,Action & Adventure,1,0
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,2021.0,2005,TV-PG,97 min,Action & Adventure,1,0
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,2021.0,2006,TV-PG,95 min,Action & Adventure,1,0
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,2021.0,2004,TV-PG,83 min,Action & Adventure,1,0
s66,TV Show,Numberblocks,United Kingdom,2021.0,2021,TV-Y,6 Seasons,Kids' TV,0,1
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,India,2021.0,2014,TV-G,1 Season,Docuseries,0,1
s68,TV Show,Saved by the Bell,United States,2021.0,1994,TV-PG,9 Seasons,Kids' TV,0,1
s70,TV Show,Stories by Rabindranath Tagore,India,2021.0,2015,TV-PG,1 Season,International TV Shows,0,1
s73,TV Show,Jack Whitehall: Travels with My Father,United Kingdom,2021.0,2021,TV-MA,5 Seasons,British TV Shows,0,1
s74,Movie,King of Boys,Nigeria,2021.0,2018,TV-MA,182 min,Dramas,1,0
s77,TV Show,Yowamushi Pedal,Japan,2021.0,2013,TV-14,1 Season,Anime Series,0,1
s82,Movie,Kate,United States,2021.0,2021,R,106 min,Action & Adventure,1,0
s83,TV Show,Lucifer,United States,2021.0,2021,TV-14,6 Seasons,Crime TV Shows,0,1
s85,Movie,Omo Ghetto: the Saga,Nigeria,2021.0,2020,TV-MA,147 min,Action & Adventure,1,0
s91,Movie,Paradise Hills,Spain,2021.0,2019,TV-MA,95 min,Sci-Fi & Fantasy,1,0
s92,Movie,The Women and the Murderer,France,2021.0,2021,TV-14,92 min,Documentaries,1,0
s93,TV Show,Into the Night,Belgium,2021.0,2021,TV-MA,2 Seasons,International TV Shows,0,1
s95,Movie,Show Dogs,United Kingdom,2021.0,2018,PG,90 min,Children & Family Movies,1,0
s96,TV Show,The Circle,United States,2021.0,2021,TV-MA,3 Seasons,Reality TV,0,1
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,2021.0,2018,TV-MA,97 min,Documentaries,1,0
s98,TV Show,Kid Cosmic,United States,2021.0,2021,TV-Y7,2 Seasons,Kids' TV,0,1
s99,TV Show,Octonauts: Above & Beyond,United Kingdom,2021.0,2021,TV-Y,1 Season,British TV Shows,0,1
s100,TV Show,On the Verge,France,2021.0,2021,TV-MA,1 Season,TV Comedies,0,1
s102,Movie,Untold: Breaking Point,United States,2021.0,2021,TV-MA,80 min,Documentaries,1,0
s105,TV Show,Tayo the Little Bus,South Korea,2021.0,2016,TV-Y,2 Seasons,Kids' TV,0,1
s106,Movie,Angamaly Diaries,India,2021.0,2017,TV-14,128 min,Action & Adventure,1,0
s107,TV Show,Bunk'd,United States,2021.0,2021,TV-G,5 Seasons,Kids' TV,0,1
s108,Movie,A Champion Heart,United States,2021.0,2018,G,90 min,Children & Family Movies,1,0
s109,TV Show,Dive Club,Australia,2021.0,2021,TV-G,1 Season,Kids' TV,0,1
s110,TV Show,La casa de papel,Spain,2021.0,2021,TV-MA,5 Seasons,Crime TV Shows,0,1
s112,TV Show,Sharkdog,United States,2021.0,2021,TV-Y,1 Season,Kids' TV,0,1
s115,Movie,Anjaam,India,2021.0,1994,TV-14,143 min,Dramas,1,0
s116,Movie,Bright Star,United Kingdom,2021.0,2009,PG,119 min,Dramas,1,0
s117,Movie,Dhanak,India,2021.0,2015,TV-PG,114 min,Comedies,1,0
s118,Movie,Final Account,United Kingdom,2021.0,2021,PG-13,94 min,Documentaries,1,0
s119,Movie,Gurgaon,India,2021.0,2017,TV-14,106 min,Dramas,1,0
s121,TV Show,Heroes of Goo Jit Zu,Australia,2021.0,2021,TV-Y7,1 Season,Kids' TV,0,1
s123,Movie,In the Cut,United Kingdom,2021.0,2003,R,118 min,Thrillers,1,0
s125,TV Show,Pororo - The Little Penguin,South Korea,2021.0,2013,TV-Y7,3 Seasons,Kids' TV,0,1
s126,TV Show,Q-Force,United States,2021.0,2021,TV-MA,1 Season,Crime TV Shows,0,1
s127,Movie,Shikara,India,2021.0,2020,TV-14,115 min,Dramas,1,0
s128,Movie,A Cinderella Story,United States,2021.0,2004,PG,95 min,Children & Family Movies,1,0
s130,Movie,An Unfinished Life,Germany,2021.0,2005,PG-13,108 min,Dramas,1,0
s132,Movie,Blade Runner: The Final Cut,United States,2021.0,1982,R,117 min,Action & Adventure,1,0
s134,Movie,Chappie,South Africa,2021.0,2015,R,121 min,Action & Adventure,1,0
s135,Movie,Clear and Present Danger,United States,2021.0,1994,PG-13,142 min,Action & Adventure,1,0
s136,Movie,Cliffhanger,United States,2021.0,1993,R,113 min,Action & Adventure,1,0
s137,Movie,Cold Mountain,United States,2021.0,2003,R,154 min,Dramas,1,0
s138,Movie,Crocodile Dundee in Los Angeles,Australia,2021.0,2001,PG,95 min,Action & Adventure,1,0
s139,Movie,Dear John,United States,2021.0,2010,PG-13,108 min,Dramas,1,0
s140,Movie,Do the Right Thing,United States,2021.0,1989,R,120 min,Classic Movies,1,0
s141,Movie,"El patrón, radiografía de un crimen",Argentina,2021.0,2014,TV-MA,100 min,Dramas,1,0
s142,Movie,Extraction,United States,2021.0,2015,R,82 min,Action & Adventure,1,0
s143,Movie,Freedom Writers,Germany,2021.0,2007,PG-13,124 min,Dramas,1,0
s144,Movie,Green Lantern,United States,2021.0,2011,PG-13,114 min,Action & Adventure,1,0
s145,Movie,House Party,United States,2021.0,1990,R,104 min,Comedies,1,0
s146,Movie,House Party 2,United States,2021.0,1991,R,94 min,Comedies,1,0
s147,Movie,House Party 3,United States,2021.0,1994,R,94 min,Comedies,1,0
s150,Movie,I Got the Hook Up,United States,2021.0,1998,R,93 min,Action & Adventure,1,0
s151,Movie,In Too Deep,United States,2021.0,1999,R,97 min,Thrillers,1,0
s152,Movie,Initial D,China,2021.0,2005,TV-14,109 min,Action & Adventure,1,0
s153,Movie,Janoskians: Untold and Untrue,United States,2021.0,2016,TV-MA,88 min,Comedies,1,0
s154,TV Show,Kid-E-Cats,Russia,2021.0,2016,TV-Y,2 Seasons,Kids' TV,0,1
s155,TV Show,Kuroko's Basketball,Japan,2021.0,2015,TV-MA,3 Seasons,Anime Series,0,1
s156,Movie,Labyrinth,United Kingdom,2021.0,1986,PG,101 min,Action & Adventure,1,0
s157,Movie,Letters to Juliet,United States,2021.0,2010,PG,105 min,Comedies,1,0
s158,Movie,Level 16,Canada,2021.0,2018,TV-14,102 min,Sci-Fi & Fantasy,1,0
s159,Movie,Love Don't Cost a Thing,United States,2021.0,2003,PG-13,101 min,Comedies,1,0
s160,Movie,Love in a Puff,Hong Kong,2021.0,2010,TV-MA,103 min,Comedies,1,0
s161,TV Show,Major Dad,United States,2021.0,1992,TV-PG,4 Seasons,TV Comedies,0,1
s162,Movie,Mars Attacks!,United States,2021.0,1996,PG-13,106 min,Comedies,1,0
s163,Movie,Marshall,United States,2021.0,2017,PG-13,118 min,Dramas,1,0
s164,Movie,My Boss's Daughter,United States,2021.0,2003,R,86 min,Comedies,1,0
s165,Movie,Mystery Men,United States,2021.0,1999,PG-13,121 min,Action & Adventure,1,0
s167,Movie,Once Upon a Time in America,Italy,2021.0,1984,R,229 min,Classic Movies,1,0
s168,Movie,Open Season 2,United States,2021.0,2008,PG,76 min,Children & Family Movies,1,0
s169,Movie,Osmosis Jones,United States,2021.0,2001,PG,95 min,Action & Adventure,1,0
s170,Movie,Poseidon,United States,2021.0,2006,PG-13,98 min,Action & Adventure,1,0
s171,Movie,Rhyme & Reason,United States,2021.0,1997,R,89 min,Documentaries,1,0
s172,Movie,Same Kind of Different as Me,United States,2021.0,2017,PG-13,120 min,Dramas,1,0
s173,Movie,School of Rock,United States,2021.0,2003,PG-13,110 min,Comedies,1,0
s174,Movie,Snervous Tyler Oakley,United States,2021.0,2015,PG-13,83 min,Documentaries,1,0
s175,Movie,Tears of the Sun,United States,2021.0,2003,R,121 min,Action & Adventure,1,0
s176,Movie,The Blue Lagoon,United States,2021.0,1980,R,105 min,Dramas,1,0
s177,Movie,The Golden Child,United States,2021.0,1986,PG-13,94 min,Action & Adventure,1,0
s178,Movie,The Guns of Navarone,United Kingdom,2021.0,1961,TV-14,156 min,Action & Adventure,1,0
s179,Movie,The Interview,United States,2021.0,2014,R,112 min,Action & Adventure,1,0
s180,Movie,The Nutty Professor,United States,2021.0,1996,PG-13,95 min,Comedies,1,0
s183,Movie,Welcome Home Roscoe Jenkins,United States,2021.0,2008,PG-13,114 min,Comedies,1,0
s184,Movie,In the Line of Fire,United States,2021.0,1993,R,129 min,Action & Adventure,1,0
s185,TV Show,Sparking Joy,United States,2021.0,2021,TV-PG,1 Season,Reality TV,0,1
s189,Movie,2 Alone in Paris,France,2021.0,2008,TV-MA,97 min,Comedies,1,0
s191,Movie,Thimmarusu,India,2021.0,2021,TV-14,125 min,Dramas,1,0
s192,Movie,Wind River,United Kingdom,2021.0,2017,R,107 min,Dramas,1,0
s193,Movie,C Kkompany,India,2021.0,2008,TV-14,127 min,Action & Adventure,1,0
s196,Movie,EMI: Liya Hai To Chukana Padega,India,2021.0,2008,TV-14,128 min,Comedies,1,0
s199,TV Show,King of Boys: The Return of the King,Nigeria,2021.0,2021,TV-MA,1 Season,Crime TV Shows,0,1
s200,Movie,Koi Aap Sa,India,2021.0,2006,TV-14,135 min,Comedies,1,0
s201,Movie,Krishna Cottage,India,2021.0,2004,TV-14,124 min,Action & Adventure,1,0
s202,Movie,Kucch To Hai,India,2021.0,2003,TV-14,136 min,Dramas,1,0
s203,Movie,Kyaa Kool Hai Hum,India,2021.0,2005,TV-MA,165 min,Comedies,1,0
s204,Movie,Kyaa Kool Hain Hum 3,India,2021.0,2016,TV-MA,124 min,Comedies,1,0
s205,Movie,Kyaa Super Kool Hain Hum,India,2021.0,2012,TV-MA,136 min,Comedies,1,0
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,India,2021.0,2001,TV-14,150 min,Comedies,1,0
s207,Movie,"LSD: Love, Sex Aur Dhokha",India,2021.0,2010,TV-MA,112 min,Dramas,1,0
s208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,India,2021.0,2008,TV-14,119 min,Action & Adventure,1,0
s209,Movie,Once Upon a Time in Mumbaai,India,2021.0,2010,TV-14,133 min,Dramas,1,0
s210,Movie,Once Upon a Time in Mumbai Dobaara!,India,2021.0,2013,TV-14,142 min,Dramas,1,0
s211,Movie,Ragini MMS,India,2021.0,2011,TV-MA,93 min,Horror Movies,1,0
s212,Movie,Ragini MMS 2,India,2021.0,2014,TV-MA,113 min,Horror Movies,1,0
s213,TV Show,Rebellion,Ireland,2021.0,2016,TV-MA,2 Seasons,International TV Shows,0,1
s216,Movie,Shootout at Lokhandwala,India,2021.0,2007,TV-MA,116 min,Action & Adventure,1,0
s217,Movie,Shor In the City,India,2021.0,2011,TV-14,106 min,Comedies,1,0
s218,Movie,The Dirty Picture,India,2021.0,2011,TV-14,145 min,Comedies,1,0
s220,TV Show,EDENS ZERO,Japan,2021.0,2021,TV-14,1 Season,Anime Series,0,1
s221,TV Show,Family Reunion,United States,2021.0,2021,TV-PG,4 Seasons,Kids' TV,0,1
s228,Movie,Really Love,United States,2021.0,2020,TV-MA,95 min,Dramas,1,0
s229,Movie,The November Man,United States,2021.0,2014,R,108 min,Action & Adventure,1,0
s230,Movie,The Old Ways,United States,2021.0,2020,TV-MA,90 min,Horror Movies,1,0
s232,Movie,The Water Man,United States,2021.0,2021,PG,92 min,Children & Family Movies,1,0
s233,TV Show,Wheel of Fortune,United States,2021.0,2019,TV-G,3 Seasons,Reality TV,0,1
s234,Movie,Count Me In,United Kingdom,2021.0,2021,TV-MA,82 min,Documentaries,1,0
s242,TV Show,Manifest,United States,2021.0,2021,TV-14,3 Seasons,TV Dramas,0,1
s248,Movie,Sweet Girl,United States,2021.0,2021,R,110 min,Action & Adventure,1,0
s252,Movie,Like Crazy,United States,2021.0,2011,PG-13,91 min,Dramas,1,0
s254,Movie,Bombay,India,2021.0,1995,TV-14,135 min,Dramas,1,0
s255,TV Show,Go! Go! Cory Carson,United States,2021.0,2021,TV-Y,5 Seasons,Kids' TV,0,1
s260,Movie,Pahuna,India,2021.0,2018,TV-PG,82 min,Comedies,1,0
s264,TV Show,Mother Goose Club,United States,2021.0,2016,TV-Y,2 Seasons,Kids' TV,0,1
s265,Movie,Walk of Shame,United States,2021.0,2014,R,94 min,Comedies,1,0
s266,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,Japan,2021.0,2018,TV-14,1 Season,Anime Series,0,1
s267,TV Show,The Creative Indians,India,2021.0,2020,TV-MA,1 Season,Docuseries,0,1
s268,Movie,The Piano,New Zealand,2021.0,1993,R,121 min,Classic Movies,1,0
s270,TV Show,Winx Club,Italy,2021.0,2015,TV-Y7,2 Seasons,Kids' TV,0,1
s271,Movie,Beckett,Italy,2021.0,2021,TV-MA,110 min,Action & Adventure,1,0
s272,TV Show,Brand New Cherry Flavor,United States,2021.0,2021,TV-MA,1 Season,TV Dramas,0,1
s273,TV Show,Fast & Furious Spy Racers,United States,2021.0,2021,TV-Y7,5 Seasons,Kids' TV,0,1
s274,TV Show,Gone for Good,France,2021.0,2021,TV-MA,1 Season,Crime TV Shows,0,1
s275,TV Show,Grace and Frankie,United States,2021.0,2021,TV-MA,7 Seasons,TV Comedies,0,1
s276,TV Show,The Kingdom,Argentina,2021.0,2021,TV-MA,1 Season,Crime TV Shows,0,1
s277,TV Show,Valeria,Spain,2021.0,2021,TV-MA,2 Seasons,International TV Shows,0,1
s278,TV Show,AlRawabi School for Girls,Jordan,2021.0,2021,TV-14,1 Season,International TV Shows,0,1
s279,Movie,Lokillo: Nothing's the Same,Colombia,2021.0,2021,TV-MA,64 min,Stand-Up Comedy,1,0
s280,Movie,Monster Hunter: Legends of the Guild,United States,2021.0,2021,TV-PG,59 min,Action & Adventure,1,0
s281,TV Show,Bake Squad,United States,2021.0,2021,TV-PG,1 Season,Reality TV,0,1
s282,Movie,Brother Jekwu,Nigeria,2021.0,2016,TV-14,101 min,Comedies,1,0
s283,Movie,La diosa del asfalto,Mexico,2021.0,2020,TV-MA,127 min,Dramas,1,0
s284,Movie,Misha and the Wolves,Belgium,2021.0,2021,PG-13,90 min,Documentaries,1,0
s285,Movie,The Kissing Booth 3,United Kingdom,2021.0,2021,TV-14,114 min,Comedies,1,0
s286,Movie,The Railway Man,Switzerland,2021.0,2013,R,108 min,Dramas,1,0
s287,TV Show,Gabby's Dollhouse,United States,2021.0,2021,TV-Y,2 Seasons,Kids' TV,0,1
s289,TV Show,Las muñecas de la mafia,Colombia,2021.0,2018,TV-MA,1 Season,Crime TV Shows,0,1
s290,TV Show,The Crowned Clown,South Korea,2021.0,2019,TV-14,1 Season,International TV Shows,0,1
s291,Movie,Untold: Malice at the Palace,United States,2021.0,2021,TV-MA,70 min,Documentaries,1,0
s292,TV Show,SHAMAN KING,Japan,2021.0,2021,TV-14,1 Season,Anime Series,0,1
s293,Movie,Quartet,United Kingdom,2021.0,2012,PG-13,98 min,Comedies,1,0
s294,Movie,Slay,South Africa,2021.0,2021,TV-MA,86 min,Comedies,1,0
s296,Movie,The Paper Tigers,United States,2021.0,2021,PG-13,111 min,Action & Adventure,1,0
s297,TV Show,Hit & Run,Israel,2021.0,2021,TV-MA,1 Season,TV Action & Adventure,0,1
s298,TV Show,Navarasa,India,2021.0,2021,TV-MA,1 Season,TV Shows,0,1
s299,Movie,Quam's Money,Nigeria,2021.0,2020,TV-MA,115 min,Comedies,1,0
s300,Movie,The Swarm,France,2021.0,2021,TV-14,102 min,Horror Movies,1,0
s301,Movie,Vivo,Canada,2021.0,2021,PG,100 min,Children & Family Movies,1,0
s302,Movie,Chennai Express,India,2021.0,2013,TV-14,135 min,Action & Adventure,1,0
s303,Movie,City of God: 10 Years Later,Brazil,2021.0,2013,TV-MA,69 min,Documentaries,1,0
s304,Movie,Esperando la carroza,Argentina,2021.0,1985,TV-MA,95 min,Comedies,1,0
s305,Movie,Lady Boss: The Jackie Collins Story,United Kingdom,2021.0,2021,TV-14,97 min,Documentaries,1,0
s306,Movie,Tango Feroz,Argentina,2021.0,1993,TV-MA,124 min,Classic Movies,1,0
s307,Movie,'76,Nigeria,2021.0,2016,TV-PG,118 min,Dramas,1,0
s308,Movie,Aftermath,United States,2021.0,2021,TV-MA,115 min,Horror Movies,1,0
s309,Movie,American Masters: Inventing David Geffen,United States,2021.0,2012,TV-MA,115 min,Movies,1,0
s311,TV Show,Cocaine Cowboys: The Kings of Miami,United States,2021.0,2021,TV-MA,1 Season,Crime TV Shows,0,1
s312,TV Show,Control Z,Mexico,2021.0,2021,TV-MA,2 Seasons,International TV Shows,0,1
s313,TV Show,Cooking With Paris,United States,2021.0,2021,TV-MA,1 Season,Reality TV,0,1
s314,TV Show,Autumn's Concerto,Taiwan,2021.0,2009,TV-14,1 Season,International TV Shows,0,1
s315,Movie,Heavy,United States,2021.0,1995,R,104 min,Dramas,1,0
s316,Movie,Ije: The Journey,United States,2021.0,2010,TV-MA,106 min,Dramas,1,0
s317,TV Show,Office Girls,Taiwan,2021.0,2011,TV-14,1 Season,International TV Shows,0,1
s318,Movie,Pray Away,United States,2021.0,2021,PG-13,102 min,Documentaries,1,0
s320,TV Show,The Prince Who Turns into a Frog,Taiwan,2021.0,2005,TV-14,1 Season,International TV Shows,0,1
s322,TV Show,Two Fathers,Taiwan,2021.0,2013,TV-14,1 Season,International TV Shows,0,1
s323,TV Show,You're My Destiny,Taiwan,2021.0,2008,TV-MA,1 Season,International TV Shows,0,1
s324,TV Show,30 Rock,United States,2021.0,2012,TV-14,7 Seasons,TV Comedies,0,1
s325,TV Show,44 Cats,Italy,2021.0,2020,TV-Y7,3 Seasons,Kids' TV,0,1
s326,Movie,Beethoven,United States,2021.0,1992,PG,87 min,Children & Family Movies,1,0
s327,Movie,Beethoven's 2nd,United States,2021.0,1993,PG,88 min,Children & Family Movies,1,0
s328,Movie,Beowulf,United States,2021.0,2007,PG-13,114 min,Action & Adventure,1,0
s329,Movie,Boyka: Undisputed,Bulgaria,2021.0,2016,R,90 min,Action & Adventure,1,0
s330,Movie,Catch Me If You Can,United States,2021.0,2002,PG-13,142 min,Dramas,1,0
s331,Movie,Cloudy with a Chance of Meatballs,United States,2021.0,2009,PG,90 min,Children & Family Movies,1,0
s333,Movie,Deep Blue Sea,United States,2021.0,1999,R,105 min,Action & Adventure,1,0
s334,Movie,Ferris Bueller's Day Off,United States,2021.0,1986,PG-13,103 min,Classic Movies,1,0
s335,Movie,Five Feet Apart,United States,2021.0,2019,PG-13,116 min,Dramas,1,0
s336,Movie,Freedomland,United States,2021.0,2006,R,113 min,Dramas,1,0
s338,Movie,Good Luck Chuck,United States,2021.0,2007,R,99 min,Comedies,1,0
s339,TV Show,Hunter X Hunter (2011),Japan,2021.0,2014,TV-14,6 Seasons,Anime Series,0,1
s341,Movie,Inception,United States,2021.0,2010,PG-13,148 min,Action & Adventure,1,0
s342,Movie,Magnolia,United States,2021.0,1999,R,189 min,Dramas,1,0
s343,Movie,Major Payne,United States,2021.0,1995,PG-13,97 min,Comedies,1,0
s344,Movie,My Girl,United States,2021.0,1991,PG-13,102 min,Dramas,1,0
s345,Movie,My Girl 2,United States,2021.0,1994,PG,99 min,Children & Family Movies,1,0
s346,Movie,Open Season: Scared Silly,United States,2021.0,2015,PG,85 min,Children & Family Movies,1,0
s347,Movie,Pineapple Express,United States,2021.0,2008,R,112 min,Action & Adventure,1,0
s348,Movie,Planet 51,Spain,2021.0,2009,PG,91 min,Children & Family Movies,1,0
s349,Movie,Poms,United Kingdom,2021.0,2019,PG-13,91 min,Comedies,1,0
s350,Movie,Seabiscuit,United States,2021.0,2003,PG-13,141 min,Dramas,1,0
s351,Movie,Space Cowboys,United States,2021.0,2000,PG-13,130 min,Action & Adventure,1,0
s352,Movie,Team America: World Police,United States,2021.0,2004,R,98 min,Action & Adventure,1,0
s353,Movie,The Edge of Seventeen,United States,2021.0,2016,R,105 min,Comedies,1,0
s354,Movie,The Haunting in Connecticut 2: Ghosts of Georgia,United States,2021.0,2013,R,101 min,Horror Movies,1,0
s355,Movie,The Last Boy Scout,United States,2021.0,1991,R,105 min,Action & Adventure,1,0
s356,Movie,The Lincoln Lawyer,United States,2021.0,2011,R,118 min,Dramas,1,0
s357,Movie,The Losers,United States,2021.0,2010,PG-13,97 min,Action & Adventure,1,0
s358,Movie,The Machinist,Spain,2021.0,2004,R,102 min,Dramas,1,0
s359,Movie,The Net,United States,2021.0,1995,PG-13,114 min,Thrillers,1,0
s360,Movie,The Original Kings of Comedy,United States,2021.0,2000,R,111 min,Stand-Up Comedy,1,0
s361,Movie,Valentine's Day,United States,2021.0,2010,PG-13,125 min,Comedies,1,0
s362,TV Show,Charmed,United States,2021.0,2021,TV-14,3 Seasons,TV Dramas,0,1
s367,TV Show,Glow Up,United Kingdom,2021.0,2021,TV-14,3 Seasons,British TV Shows,0,1
s371,TV Show,Outer Banks,United States,2021.0,2021,TV-MA,2 Seasons,TV Action & Adventure,0,1
s375,Movie,Flower Girl,Nigeria,2021.0,2013,TV-PG,94 min,Comedies,1,0
s378,Movie,Bartkowiak,Poland,2021.0,2021,TV-MA,92 min,Action & Adventure,1,0
s379,Movie,Fantastic Fungi,United States,2021.0,2019,TV-14,81 min,Documentaries,1,0
s381,TV Show,The Flash,United States,2021.0,2021,TV-14,7 Seasons,Crime TV Shows,0,1
s383,TV Show,All American,United States,2021.0,2021,TV-14,3 Seasons,TV Dramas,0,1
s384,Movie,Department,India,2021.0,2012,TV-MA,143 min,Action & Adventure,1,0
s386,TV Show,How to Sell Drugs Online (Fast),Germany,2021.0,2021,TV-MA,3 Seasons,Crime TV Shows,0,1
s387,TV Show,Mighty Express,United States,2021.0,2021,TV-Y,4 Seasons,Kids' TV,0,1
s390,Movie,The Operative,France,2021.0,2019,TV-MA,117 min,Dramas,1,0
s391,TV Show,The Walking Dead,United States,2021.0,2019,TV-MA,10 Seasons,Classic & Cult TV,0,1
s392,TV Show,Wynonna Earp,Canada,2021.0,2020,TV-MA,4 Seasons,International TV Shows,0,1
s393,Movie,Django Unchained,United States,2021.0,2012,R,165 min,Action & Adventure,1,0
s394,Movie,A Second Chance:  Rivals!,Australia,2021.0,2021,PG,91 min,Children & Family Movies,1,0
s402,TV Show,Sky Rojo,Spain,2021.0,2021,TV-MA,2 Seasons,International TV Shows,0,1
s403,Movie,The Last Letter From Your Lover,United Kingdom,2021.0,2021,TV-MA,111 min,Dramas,1,0
s404,TV Show,The Movies That Made Us,United States,2021.0,2021,TV-MA,2 Seasons,Docuseries,0,1
s411,Movie,Chhota Bheem And The Broken Amulet,India,2021.0,2013,TV-Y7,64 min,Children & Family Movies,1,0
s416,Movie,Chhota Bheem aur Krishna,India,2021.0,2009,TV-Y7,68 min,Children & Family Movies,1,0
s426,TV Show,Chicago Med,United States,2021.0,2019,TV-14,5 Seasons,TV Dramas,0,1
s427,Movie,Cousins,New Zealand,2021.0,2021,TV-MA,99 min,Dramas,1,0
s430,Movie,Sanitation Day,Nigeria,2021.0,2020,TV-14,105 min,Dramas,1,0
s434,Movie,Milkwater,United States,2021.0,2020,TV-MA,102 min,Comedies,1,0
s435,TV Show,Okupas,Argentina,2021.0,2020,TV-MA,1 Season,Classic & Cult TV,0,1
s437,Movie,The Tambour of Retribution,Saudi Arabia,2021.0,2021,TV-14,91 min,Dramas,1,0
s438,Movie,Cosmic Sin,United States,2021.0,2021,R,88 min,Action & Adventure,1,0
s440,Movie,Deep,Thailand,2021.0,2021,TV-MA,101 min,Dramas,1,0
s441,TV Show,Explained,United States,2021.0,2021,TV-MA,3 Seasons,Docuseries,0,1
